Datetime,AirTemperature,CloudOpacity,DHI,DNI,EBH,GHI,Production - Location 1,Production - Location 2,Production - Location 3
11/22/2022 14:00,8.699999809,59,117,0.0,0,117,11.70533333,12.69491667,16.35541667
11/22/2022 15:00,8.899999619,62,62,0.0,0,62,1.309583333,8.262333333,1.812333333
11/22/2022 16:00,9.199999809,57,15,7.0,1,16,0.0,0.930666667,0.0
11/22/2022 17:00,8.899999619,81,0,0.0,0,0,0.0,0.0,0.0
11/22/2022 18:00,8.899999619,91,0,0.0,0,0,0.0,0.0,0.0
11/22/2022 19:00,8.800000191,88,0,0.0,0,0,0.0,0.0,0.0
11/22/2022 20:00,8.800000191,92,0,0.0,0,0,0.0,0.0,0.0
11/22/2022 21:00,8.800000191,20,0,0.0,0,0,0.0,0.0,0.0
11/22/2022 22:00,9.0,7,0,0.0,0,0,0.0,0.0,0.0
11/22/2022 23:00,9.199999809,2,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 0:00,9.0,30,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 1:00,8.600000381,0,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 2:00,8.300000191,1,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 3:00,8.5,66,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 4:00,8.199999809,61,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 5:00,8.0,86,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 6:00,7.900000095,72,0,0.0,0,0,1.0626,0.0,1.324285714
11/23/2022 7:00,8.100000381,56,2,0.0,0,2,5.183416667,0.8002,7.158833333
11/23/2022 8:00,8.100000381,75,25,0.0,0,25,9.412166667,3.691916667,19.94758333
11/23/2022 9:00,8.800000191,54,114,0.0,0,114,24.103,8.05975,49.0895
11/23/2022 10:00,9.399999619,64,125,0.0,0,125,19.45,20.95833333,38.59316667
11/23/2022 11:00,11.0,67,138,0.0,0,138,21.60725,16.41241667,42.18966667
11/23/2022 12:00,11.0,64,150,0.0,0,150,25.80858333,17.852,48.11808333
11/23/2022 13:00,10.10000038,72,105,0.0,0,105,12.77091667,20.97891667,28.19775
11/23/2022 14:00,8.5,69,87,0.0,0,87,7.82525,10.38433333,22.17133333
11/23/2022 15:00,7.599999905,31,85,111.0,21,106,2.75575,7.515833333,4.899333333
11/23/2022 16:00,7.099999905,31,17,16.0,1,19,0.009166667,2.267083333,0.08875
11/23/2022 17:00,6.699999809,57,0,0.0,0,0,0.0,0.015125,0.0
11/23/2022 18:00,6.0,81,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 19:00,5.5,64,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 20:00,5.199999809,64,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 21:00,5.0,61,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 22:00,4.800000191,62,0,0.0,0,0,0.0,0.0,0.0
11/23/2022 23:00,4.400000095,73,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 0:00,4.400000095,64,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 1:00,4.5,66,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 2:00,4.599999905,67,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 3:00,4.900000095,64,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 4:00,5.099999905,61,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 5:00,5.099999905,55,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 6:00,4.900000095,49,0,0.0,0,0,0.1335,0.0,0.2225
11/24/2022 7:00,4.900000095,48,1,0.0,0,1,2.586916667,0.0306,3.95775
11/24/2022 8:00,5.099999905,42,65,0.0,0,65,11.2045,1.646583333,21.92875
11/24/2022 9:00,6.300000191,65,86,0.0,0,86,7.250583333,9.59325,13.66325
11/24/2022 10:00,7.0,78,78,0.0,0,78,15.51,6.403916667,25.2545
11/24/2022 11:00,7.699999809,77,94,0.0,0,94,20.70291667,11.175,42.27625
11/24/2022 12:00,7.900000095,70,126,0.0,0,126,16.76358333,17.41941667,36.83433333
11/24/2022 13:00,8.600000381,73,102,0.0,0,102,24.5675,15.03058333,38.05958333
11/24/2022 14:00,8.899999619,24,160,188.0,58,218,24.28625,17.56866667,27.9975
11/24/2022 15:00,8.600000381,56,70,0.0,0,70,3.707916667,11.71216667,6.076916667
11/24/2022 16:00,8.300000191,19,17,53.0,5,22,0.059428571,3.072833333,0.114666667
11/24/2022 17:00,7.699999809,8,0,0.0,0,0,0.0,0.029777778,0.0
11/24/2022 18:00,7.199999809,0,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 19:00,6.300000191,36,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 20:00,6.400000095,47,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 21:00,6.5,49,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 22:00,6.599999905,51,0,0.0,0,0,0.0,0.0,0.0
11/24/2022 23:00,6.199999809,70,0,0.0,0,0,0.0,0.0,0.0
11/25/2022 0:00,5.800000191,64,0,0.0,0,0,0.0,0.0,0.0
11/25/2022 1:00,5.699999809,56,0,0.0,0,0,0.0,0.0,0.0
11/25/2022 2:00,5.5,51,0,0.0,0,0,0.0,0.0,0.0
11/25/2022 3:00,5.400000095,52,0,0.0,0,0,0.0,0.0,0.0
11/25/2022 4:00,5.300000191,51,0,0.0,0,0,0.0,0.0,0.0
11/25/2022 5:00,5.199999809,54,0,0.0,0,0,0.0,0.0,0.0
11/25/2022 6:00,5.0,52,0,0.0,0,0,0.113666667,0.0,0.039375
11/25/2022 7:00,5.800000191,49,1,0.0,0,1,4.739,0.0285,7.683
11/25/2022 8:00,6.099999905,45,59,0.0,0,59,16.78766667,3.122833333,19.85183333
11/25/2022 9:00,7.199999809,29,135,132.0,38,174,19.38225,11.07475,38.058
11/25/2022 10:00,7.800000191,30,205,113.0,40,245,36.71425,16.50641667,44.87966667
11/25/2022 11:00,9.0,50,205,0.0,0,205,62.42808333,21.74558333,53.60858333
11/25/2022 12:00,9.399999619,30,236,137.0,59,295,56.17391667,35.72591667,78.84883333
